id,title,state,category,date,url,status
H 7295,2023 RI H 7295,Rhode Island,,2024-01-26,,Pending
H 7521,2023 RI H 7521,Rhode Island,housing;impact assessment;notification,2024-02-07,,Pending
H 7786,2023 RI H 7786,Rhode Island,housing;impact assessment,2024-02-29,,Pending
H 8058,2023 RI H 8058,Rhode Island,,2024-03-13,,Pending
H 8073,2023 RI H 8073,Rhode Island,,2024-03-15,,Pending
S 117,2023 RI S 117,Rhode Island,audit;government use;studies,2023-02-01,,Pending
S 146,2023 RI S 146,Rhode Island,,2023-02-01,,Pending
S 2540,2023 RI S 2540,Rhode Island,,2024-03-01,,Pending
S 2888,2023 RI S 2888,Rhode Island,housing;impact assessment,2024-03-22,,Pending
S 2892,2023 RI S 2892,Rhode Island,,2024-03-22,,Pending
H 30,2024 VA H 30,Virginia,appropriations;audit;cybersecurity;elections;housing;impact assessment;notification;studies;taxes,2024-01-10,,Pending
H 1051,2024 VA H 1051,Virginia,appropriations;notification;studies;taxes,2024-01-10,,Pending - Carryover
H 747,2024 VA H 747,Virginia,cybersecurity;housing;impact assessment,2024-01-09,,Pending - Carryover
S 563,2024 VA S 563 Author Hackworth Version Recommended as Substituted from Committee,Virginia,appropriations,,,Pending - Carryover
SJR 14,2024 VA SJR 14,Virginia,,2024-01-10,,Pending - Carryover
A 1831,2023 CA A 1831,California,child pornography,2024-09-29,,To governor
A 2013,2023 CA A 2013,California,,2024-09-28,,To governor
A 2355,2023 CA A 2355,California,,2024-09-17,,To governor
A 2602,2023 CA A 2602,California,,2024-09-17,,To governor
A 2885,2023 CA A 2885,California,audit;cybersecurity;housing;provenance,2024-09-28,,To governor
A 2905,2023 CA A 2905,California,,2024-09-20,,To governor
A 3030,2023 CA A 3030,California,,2024-09-28,,To governor
S 1047,2023 CA S 1047,California,audit;cybersecurity;provenance,2024-09-04,,To governor
S 1120,2023 CA S 1120,California,audit,2024-09-28,,To governor
S 1220,2023 CA S 1220,California,notification,2024-09-05,,To governor
S 1288,2023 CA S 1288,California,,2024-09-28,,To governor
S 892,2023 CA S 892,California,provenance,2024-09-06,,To governor
S 896,2023 CA S 896,California,provenance,2024-09-29,,To governor
S 942,2023 CA S 942,California,provenance,2024-09-19,,To governor
S 7543,2023 NY S 7543,New York,cybersecurity;housing;impact assessment;notification,2024-12-21,,To governor
S 7676,2023 NY S 7676,New York,,2024-12-13,,To governor
S 9832,2023 NY S 9832,New York,notification,2024-12-21,,To governor
S 97,2024 LA S 97,Louisiana,elections,2024-05-30,,Vetoed
A 4969,2023 NY A 4969,New York,,2023-02-27,,Vetoed
H 5604,2024 WV H 5604,West Virginia,,2024-03-08,,Vetoed
